recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
2306,"HD 196885 ",101966,0.509,0.155,2.706,-4.979,0.07,9,6.21,L,HD 196885,309.96615,11.24965
2300,"HD 196201 ",101597,0.69,0.166,2.882,-4.971,-0.5,31,6.05,K,HD 196201,308.85929,11.35713
2321,"HD 198683 ",102968,0.571,0.148,2.579,-5.055,0.8,,7.64,K,HD 198683,312.92983,12.03555
2315,"HD 198089 ",102610,0.54,0.152,2.657,-5.014,-0.3,,6.86,L,HD 198089,311.9078,12.98624
2388,"HD 206658 ",107246,0.654,0.153,2.652,-5.037,0.35,,7.31,K,HD 206658,325.82673,12.51835
2376,"HD 205353 ",106512,0.602,0.163,2.834,-4.956,0.26,19,5.78,K,HD 205353,323.59738,13.91985
2389,"HD 206860 ",107350,0.53,0.332,5.782,-4.391,-0.6,3,0.28,L,HD 206860,326.13054,14.77194
2432,"HD 210460 ",109439,0.657,0.258,4.646,-4.617,2.36,14,1.26,K,HD 210460,332.57925,19.61634
2416,"HD 209458 ",108859,0.53,0.16,2.805,-4.95,-0.2,11,5.67,K,HD 209458,330.79488,18.88432
2417,"HD 209599 ",108947,0.816,0.228,2.577,-4.803,0.0,33,3.25,K,HD 209599,331.08275,20.26567
2423,"HD 210211 ",109281,0.842,0.157,4.301,-5.065,3.8,,7.82,L,HD 210211,332.07824,24.15678
2352,"HD 201891 ",104659,0.51,0.184,3.199,-4.812,-0.7,8,3.37,L,HD 201891,317.99596,17.72775
2401,"HD 207994 ",107987,0.557,0.186,3.258,-4.813,0.86,11,3.39,K,HD 207994,328.15992,25.055
2384,"HD 206374 ",107070,0.7,0.332,5.757,-4.49,-0.2,11,0.57,K,HD 206374,325.27582,26.75067
2383,"HD 206332 ",107040,0.6,0.145,2.52,-5.085,0.56,,8.18,K,HD 206332,325.17939,28.75567
